cnn_assignment-lenet-10-100-0.000100, CNN: fine_tuned_accuracy: 0.97, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 97.00 
cnn_assignment-lenet-10-100-0.000200, CNN: fine_tuned_accuracy: 0.95, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 97.00 
cnn_assignment-lenet-10-100-0.000500, CNN: fine_tuned_accuracy: 0.94, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 96.00 
cnn_assignment-lenet-10-100-0.001000, CNN: fine_tuned_accuracy: 0.96, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 97.00 
cnn_assignment-lenet-10-20-0.000100, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-10-20-0.000200, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-10-20-0.000500, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-10-20-0.001000, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 98.50 
cnn_assignment-lenet-10-40-0.000100, CNN: fine_tuned_accuracy: 0.97, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-10-40-0.000200, CNN: fine_tuned_accuracy: 0.96, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-10-40-0.000500, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-10-40-0.001000, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 98.50 
cnn_assignment-lenet-10-50-0.000100, CNN: fine_tuned_accuracy: 0.97, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 98.50 
cnn_assignment-lenet-10-50-0.000200, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 98.00 
cnn_assignment-lenet-10-50-0.000500, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 98.50 
cnn_assignment-lenet-10-50-0.001000, CNN: fine_tuned_accuracy: 0.97, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 98.50 
cnn_assignment-lenet-100-100-0.000100, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-100-100-0.000200, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 90.50, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-100-100-0.000500, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-100-100-0.001000, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 90.50, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-100-20-0.000100, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-100-20-0.000200, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 90.50, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-100-20-0.000500, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 90.50, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-100-20-0.001000, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 90.50, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-100-40-0.000100, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 90.50, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-100-40-0.000200, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-100-40-0.000500, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-100-40-0.001000, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-100-50-0.000100, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-100-50-0.000200, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-100-50-0.000500, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-100-50-0.001000, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-20-100-0.000100, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 90.50, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-20-100-0.000200, CNN: fine_tuned_accuracy: 0.96, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 98.50 
cnn_assignment-lenet-20-100-0.000500, CNN: fine_tuned_accuracy: 0.96, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 98.50 
cnn_assignment-lenet-20-100-0.001000, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-20-20-0.000100, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-20-20-0.000200, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-20-20-0.000500, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-20-20-0.001000, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-20-40-0.000100, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 90.00, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-20-40-0.000200, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-20-40-0.000500, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-20-40-0.001000, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-20-50-0.000100, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-20-50-0.000200, CNN: fine_tuned_accuracy: 0.97, SVM: pre_trained_accuracy: 90.50, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-20-50-0.000500, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 90.50, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-20-50-0.001000, CNN: fine_tuned_accuracy: 0.98, SVM: pre_trained_accuracy: 90.50, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-50-20-0.000100, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-50-20-0.000200, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 99.00 
cnn_assignment-lenet-50-20-0.000500, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-50-20-0.001000, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 98.50 
cnn_assignment-lenet-50-40-0.000100, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 89.50, fine_tuned_accuracy: 99.50 
cnn_assignment-lenet-50-40-0.000200, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 98.00 
cnn_assignment-lenet-50-40-0.000500, CNN: fine_tuned_accuracy: 1.00, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 98.00 
cnn_assignment-lenet-50-40-0.001000, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 98.50 
cnn_assignment-lenet-50-50-0.000100, CNN: fine_tuned_accuracy: 0.99, SVM: pre_trained_accuracy: 89.00, fine_tuned_accuracy: 98.50 
